description;price;service_type
Property Purchase Agreement;300.00;For individual
Will Preparation;150.00;For individual
Power of Attorney;120.00;For individual
Marriage Certificate Authentication;80.00;For individual
Vehicle Sale Agreement;200.00;For individual
Business Incorporation;500.00;For business
Contract Review;250.00;For business
Lease Agreement Notarization;180.00;For business
Trademark Registration;450.00;For business
Employment Contract Certification;150.00;For business
Property Transfer Deed;220.00;For individual
Affidavit of Identity;90.00;For individual
Business Partnership Agreement;400.00;For business
Divorce Agreement;300.00;For individual
Notarization of Medical Documents;100.00;For individual
Business License Application;350.00;For business
Shareholder Agreement Certification;320.00;For business
General Partnership Agreement;380.00;For business
Certified Copy of Passport;70.00;For individual
Loan Agreement Notarization;220.00;For individual
Corporate Resolution Notarization;280.00;For business
Power of Attorney for Business Transactions;180.00;For business
Investment Agreement Certification;400.00;For business
Real Estate Purchase for Business;600.00;For business
Certification of Incorporation;500.00;For business
Notarization of Adoption Papers;150.00;For individual
Notarization of Foreign Documents;130.00;For individual
Partnership Dissolution Agreement;350.00;For business
